MedInc,HouseAge,AveRooms,Population,AveOccup,Latitude,price
8.3252,41.0,6.984126984126984,322.0,2.5555555555555554,37.88,4.526
8.3014,21.0,6.238137082601054,2401.0,2.109841827768014,37.86,3.585
7.2574,52.0,8.288135593220339,496.0,2.8022598870056497,37.85,3.521
5.6431,52.0,5.8173515981735155,558.0,2.547945205479452,37.85,3.413
3.8462,52.0,6.281853281853282,565.0,2.1814671814671813,37.85,3.422
4.0368,52.0,4.761658031088083,413.0,2.139896373056995,37.85,2.697
3.6591,52.0,4.9319066147859925,1094.0,2.1284046692607004,37.84,2.992
3.12,52.0,4.797527047913447,1157.0,1.7882534775888717,37.84,2.414
2.0804,42.0,4.294117647058823,1206.0,2.026890756302521,37.84,2.267
3.6912,52.0,4.970588235294118,1551.0,2.172268907563025,37.84,2.611
3.2031,52.0,5.477611940298507,910.0,2.263681592039801,37.85,2.815
3.2705,52.0,4.772479564032698,1504.0,2.0490463215258856,37.85,2.418
3.075,52.0,5.322649572649572,1098.0,2.3461538461538463,37.85,2.135
2.6736,52.0,4.0,345.0,1.9827586206896552,37.84,1.913
1.9167,52.0,4.262903225806451,1212.0,1.9548387096774194,37.85,1.592
2.125,50.0,4.242424242424242,697.0,2.640151515151515,37.85,1.4
2.775,52.0,5.9395770392749245,793.0,2.395770392749245,37.85,1.525
2.1202,52.0,4.052805280528053,648.0,2.1386138613861387,37.85,1.555
1.9911,50.0,5.343675417661098,990.0,2.3627684964200477,37.84,1.587
2.6033,52.0,5.465454545454546,690.0,2.5090909090909093,37.84,1.629
1.3578,40.0,4.524096385542169,409.0,2.463855421686747,37.85,1.475
1.7135,42.0,4.478142076502732,929.0,2.5382513661202184,37.85,1.598
1.725,52.0,5.096234309623431,1015.0,2.1234309623430963,37.84,1.139
2.1806,52.0,5.193846153846154,853.0,2.624615384615385,37.84,0.997
2.6,52.0,5.270142180094787,1006.0,2.3838862559241707,37.84,1.326
2.4038,41.0,4.495798319327731,317.0,2.6638655462184873,37.85,1.075
2.4597,49.0,4.7280334728033475,607.0,2.5397489539748954,37.85,0.938
1.808,52.0,4.7808564231738035,1102.0,2.7758186397984885,37.85,1.055
1.6424,50.0,4.40169133192389,1131.0,2.3911205073995774,37.84,1.089
1.6875,52.0,4.703225806451613,395.0,2.5483870967741935,37.84,1.32
1.9274,49.0,5.068783068783069,863.0,2.2830687830687832,37.84,1.223
1.9615,52.0,4.882086167800454,1168.0,2.6485260770975056,37.84,1.152
1.7969,48.0,5.737313432835821,1026.0,3.062686567164179,37.84,1.104
1.375,49.0,5.0303951367781155,754.0,2.291793313069909,37.83,1.049
2.7303,51.0,4.972014925373134,1258.0,2.3470149253731343,37.83,1.097
1.4861,49.0,4.6022727272727275,570.0,2.159090909090909,37.83,0.972
1.0972,48.0,4.807486631016043,987.0,2.6390374331550803,37.83,1.045
1.4103,52.0,3.7493796526054592,901.0,2.235732009925558,37.83,1.039
3.48,52.0,4.757281553398058,689.0,2.2297734627831716,37.83,1.914
2.5898,52.0,3.4942528735632186,1377.0,1.978448275862069,37.83,1.76
2.0978,52.0,4.215189873417722,946.0,2.3949367088607594,37.83,1.554
1.2852,51.0,3.7590361445783134,517.0,2.076305220883534,37.83,1.5
1.025,49.0,3.7724867724867726,462.0,2.4444444444444446,37.84,1.188
3.9643,52.0,4.797979797979798,467.0,2.3585858585858586,37.84,1.888
3.0125,52.0,4.941780821917808,660.0,2.26027397260274,37.83,1.844
2.6768,52.0,4.335078534031414,718.0,1.8795811518324608,37.83,1.823
2.026,50.0,3.700657894736842,616.0,2.026315789473684,37.83,1.425
1.7348,43.0,3.9802371541501977,558.0,2.205533596837945,37.82,1.375
0.9506,40.0,3.9,423.0,2.64375,37.82,1.875
1.775,40.0,2.6875,700.0,1.9886363636363635,37.82,1.125
0.9218,21.0,2.045662100456621,735.0,1.678082191780822,37.82,1.719
1.5045,43.0,4.58968058968059,1061.0,2.6068796068796067,37.82,0.938
1.1108,41.0,4.473611111111111,1959.0,2.720833333333333,37.82,0.975
1.2475,52.0,4.075,1162.0,2.905,37.82,1.042
1.6098,52.0,5.021459227467811,701.0,3.0085836909871246,37.82,0.875
1.4113,52.0,4.295454545454546,576.0,2.618181818181818,37.82,0.831
1.5057,52.0,4.77992277992278,622.0,2.4015444015444016,37.82,0.875
0.8172,52.0,6.102459016393443,728.0,2.9836065573770494,37.82,0.853
1.2171,52.0,4.5625,1074.0,3.5328947368421053,37.82,0.803
2.5625,2.0,2.7719298245614037,94.0,1.6491228070175439,37.82,0.6
3.3929,52.0,5.994652406417113,554.0,2.962566844919786,37.83,0.757
6.1183,49.0,5.869565217391305,86.0,3.739130434782609,37.82,0.75
